x1,y1,x2,y2,label
0.179510,0.195043,0.368674,0.455486,signage
0.982743,0.396002,1.000000,0.413575,signage
0.918014,0.443462,0.877486,0.464218,signage
0.768517,0.420558,0.792404,0.452408,billboard
0.750265,0.389782,0.801798,0.422705,billboard
0.747850,0.459923,0.759928,0.472091,signage
0.710810,0.470730,0.715845,0.496045,signage
0.697069,0.473248,0.703362,0.495066,signage
0.674991,0.459997,0.685649,0.474955,billboard
0.642365,0.471091,0.649189,0.482309,billboard
0.626285,0.478943,0.631427,0.487045,billboard
0.583189,0.475079,0.593379,0.490037,signage
0.583376,0.491034,0.587302,0.509981,signage
0.593005,0.523443,0.621518,0.576792,signage
0.733887,0.469595,0.738468,0.478445,signage
