x1,y1,x2,y2,label
0.000000,0.417608,0.106063,0.446844,signage
0.128987,0.417608,0.163870,0.440199,signage
0.089120,0.159136,0.227159,0.333887,billboard
0.853945,0.390753,0.907517,0.440587,signage
0.905898,0.456020,0.927173,0.482087,signage
0.831153,0.101210,0.848193,0.127359,branding
0.835976,0.201521,0.856553,0.230671,branding
0.840156,0.248247,0.859125,0.279540,branding
0.840491,0.296296,0.859125,0.326341,branding
0.721323,0.290518,0.743857,0.321141,branding
0.752957,0.288207,0.761190,0.316518,branding
0.736057,0.238518,0.749923,0.276651,branding
0.753390,0.243140,0.761190,0.269140,branding
0.720890,0.185939,0.743423,0.213095,branding
0.698790,0.184784,0.719156,0.213095,branding
0.724357,0.079627,0.749490,0.117761,branding
0.687956,0.248918,0.710923,0.270296,branding
0.712656,0.241407,0.727390,0.266251,branding
0.670189,0.296296,0.696190,0.326341,branding
0.639856,0.306696,0.655022,0.332696,branding
0.629455,0.317674,0.637256,0.330385,branding
0.625122,0.263362,0.636389,0.281851,branding
0.650256,0.249495,0.673656,0.281851,branding
0.657622,0.193450,0.685789,0.220028,branding
0.623822,0.151850,0.647656,0.180161,branding
0.661956,0.141450,0.682756,0.162250,branding
0.723490,0.132205,0.736923,0.149539,branding
0.675389,0.082516,0.707890,0.118338,branding
0.639856,0.095227,0.665856,0.128161,branding
0.623822,0.099272,0.640289,0.129894,branding
0.603455,0.093494,0.622089,0.112561,branding
0.576155,0.103894,0.594788,0.120072,branding
0.554921,0.122383,0.572688,0.154161,branding
0.524154,0.132783,0.544521,0.158783,branding
0.531954,0.177850,0.557521,0.211362,branding
0.514621,0.232740,0.531954,0.257584,branding
0.560121,0.267985,0.578755,0.302652,branding
0.529354,0.277229,0.548421,0.298607,branding
0.533254,0.318830,0.560121,0.355808,branding
0.499927,0.333066,0.523964,0.359644,branding
0.467388,0.335802,0.493771,0.360035,branding
0.457714,0.289681,0.478821,0.320168,branding
0.455956,0.259194,0.474717,0.287727,branding
0.426348,0.267402,0.446868,0.291635,branding
0.387947,0.304924,0.411398,0.336584,branding
0.387947,0.351436,0.406122,0.378796,branding
0.364203,0.358081,0.380912,0.383095,branding
0.339579,0.360035,0.360099,0.385049,branding
0.315834,0.363552,0.334889,0.390912,branding
0.733506,0.029278,0.753742,0.056258,branding
0.704814,0.018807,0.721425,0.052231,branding
0.674914,0.028875,0.700284,0.058674,branding
0.649846,0.000000,0.674310,0.011156,branding
0.543153,0.027471,0.564373,0.060908,branding
0.494284,0.095631,0.513896,0.120923,branding
0.523863,0.000000,0.536080,0.017183,branding
0.459561,0.021041,0.480459,0.042904,branding
0.465348,0.060908,0.486889,0.089630,branding
0.443485,0.067767,0.459561,0.097774,branding
0.466955,0.106348,0.483995,0.126925,branding
0.474029,0.147930,0.491712,0.173651,branding
0.480137,0.189940,0.494927,0.214804,branding
0.449915,0.202372,0.472421,0.232379,branding
0.444771,0.155217,0.460525,0.183939,branding
0.389793,0.177937,0.407798,0.202801,branding
0.372432,0.189940,0.381113,0.204087,branding
0.381434,0.222091,0.402332,0.252956,branding
0.304915,0.324545,0.323562,0.353267,branding
0.327742,0.318973,0.347676,0.351552,branding
0.318740,0.281678,0.333208,0.309542,branding
0.340924,0.275676,0.358928,0.294109,branding
0.333208,0.235809,0.346390,0.263244,branding
0.307808,0.244382,0.322276,0.270532,branding
0.323241,0.195084,0.343496,0.218662,branding
0.310702,0.210946,0.318740,0.222949,branding
0.301700,0.162505,0.312310,0.184367,branding
0.321955,0.154789,0.337387,0.177937,branding
0.346068,0.147501,0.363430,0.172364,branding
0.367609,0.095631,0.384328,0.120923,branding
0.393330,0.088343,0.404904,0.114493,branding
0.374682,0.050191,0.392687,0.081056,branding
0.320347,0.073340,0.338352,0.102919,branding
0.299362,0.083134,0.313557,0.110518,branding
0.324732,0.038435,0.343155,0.050113,branding
0.315067,0.000000,0.329564,0.015481,branding
0.422285,0.022730,0.448863,0.046489,branding
0.488030,0.292293,0.497411,0.309230,branding
0.490571,0.243306,0.504055,0.263630,branding
0.475718,0.246432,0.488616,0.267278,branding
0.311283,0.120628,0.323580,0.142029,branding
0.298559,0.006756,0.307872,0.021570,branding
0.308526,0.049456,0.317186,0.057516,branding
0.619932,0.015461,0.627955,0.024537,branding
0.194196,0.543470,0.203113,0.549998,branding
0.134786,0.433645,0.919669,0.573180,billboard
0.122395,0.298046,0.173926,0.329148,signage
