x1,y1,x2,y2,label
0.168249,0.425154,0.267916,0.568296,billboard
0.318605,0.524632,0.361889,0.555387,signage
0.000000,0.537489,0.017173,0.564436,signage
0.039875,0.447050,0.088325,0.466983,signage
0.552029,0.514344,0.574703,0.546902,signage
0.604604,0.489427,0.627527,0.528629,signage
0.580933,0.544909,0.596132,0.530623,signage
0.562673,0.582154,0.571712,0.593434,signage
0.563484,0.592507,0.570669,0.602242,signage
0.450468,0.620810,0.454588,0.624708,branding
0.578391,0.483297,0.606826,0.533717,billboard
0.759259,0.484861,0.816421,0.526682,billboard
0.792383,0.448902,0.823163,0.489160,billboard
0.732436,0.550260,0.746141,0.562054,signage
0.726456,0.560725,0.750875,0.568367,signage
0.765576,0.544779,0.770559,0.552088,signage
0.806392,0.528128,0.830597,0.558820,billboard
0.841167,0.528338,0.859308,0.540283,signage
0.840943,0.539238,0.860540,0.551034,signage
0.842174,0.561486,0.849118,0.571490,signage
0.861117,0.544569,0.889077,0.557740,billboard
0.981927,0.609803,1.000000,0.652649,signage
0.921485,0.589557,0.928885,0.603853,signage
0.918314,0.597611,0.924808,0.603652,signage
0.918012,0.571436,0.923449,0.577074,signage
0.916502,0.579691,0.927828,0.591168,signage
