x1,y1,x2,y2,label
0.031838,0.159653,0.218439,0.294758,signage
0.852069,0.402682,0.963697,0.454775,signage
0.620373,0.417814,0.673529,0.466224,billboard
0.559048,0.509303,0.550439,0.521327,signage
0.568749,0.506023,0.574761,0.521327,signage
0.597990,0.501469,0.584599,0.517501,signage
0.607691,0.499465,0.603182,0.515315,signage
0.609468,0.490902,0.617666,0.520780,signage
0.653816,0.497577,0.663175,0.510963,signage
0.631185,0.509828,0.685806,0.519130,signage
0.562635,0.522386,0.570127,0.526807,signage
0.556003,0.523696,0.562389,0.528772,signage
0.571248,0.553664,0.575815,0.557337,branding
0.830805,0.507681,0.848305,0.524291,signage
0.787975,0.525700,0.807470,0.561219,billboard
0.788464,0.467841,0.777617,0.507252,signage
0.764422,0.515732,0.776582,0.524247,signage
0.772582,0.533709,0.777311,0.539015,signage
0.692465,0.504113,0.723338,0.521104,signage
0.729249,0.523906,0.744226,0.535993,signage
0.369918,0.535548,0.383987,0.559044,billboard
