x1,y1,x2,y2,label
0.129090,0.271281,0.311814,0.351015,billboard
0.471283,0.467848,0.528591,0.493873,billboard
0.786103,0.459252,0.832448,0.558920,billboard
0.652982,0.356898,0.692245,0.418397,billboard
0.953869,0.437548,0.990530,0.537554,signage
0.947478,0.385078,0.989857,0.408846,signage
0.986158,0.497641,1.000000,0.541141,signage
0.085485,0.418951,0.131087,0.471067,signage
0.168368,0.432667,0.219031,0.472499,signage
0.220795,0.425543,0.285493,0.455791,signage
0.113507,0.543316,0.129019,0.568594,signage
0.141925,0.315833,0.193847,0.401372,billboard
0.338551,0.461883,0.306733,0.484557,signage
0.302925,0.471823,0.350147,0.484810,signage
0.393379,0.459234,0.408516,0.484304,billboard
0.408823,0.502580,0.419806,0.509430,signage
0.179878,0.573225,0.198778,0.585176,branding
0.025237,0.492695,0.058349,0.505869,signage
0.011885,0.514058,0.057014,0.529724,signage
0.035117,0.503020,0.054878,0.517974,signage
0.634679,0.537681,0.638809,0.543704,branding
0.558631,0.469671,0.572751,0.493752,billboard
0.545933,0.482368,0.561367,0.490687,signage
0.566530,0.486963,0.577526,0.493627,signage
0.550527,0.490314,0.558877,0.514896,signage
0.578244,0.456854,0.554561,0.481523,billboard
