x1,y1,x2,y2,label
0.288566,0.169752,0.489563,0.318146,billboard
0.321789,0.318146,0.377714,0.359490,billboard
0.274698,0.309619,0.289648,0.354069,billboard
0.435038,0.336735,0.468854,0.369483,signage
0.220186,0.349284,0.242083,0.367204,signage
0.208558,0.327337,0.224414,0.357539,signage
0.194061,0.348076,0.211880,0.362170,signage
0.165067,0.333377,0.179111,0.354922,signage
0.174429,0.347472,0.191192,0.361566,signage
0.143170,0.328545,0.154496,0.338411,signage
0.093638,0.320088,0.103756,0.350492,signage
0.026823,0.309154,0.034921,0.334071,signage
0.119063,0.364034,0.124127,0.372715,signage
0.112713,0.352567,0.117536,0.360283,signage
0.113035,0.342600,0.118259,0.353853,signage
0.137871,0.337992,0.146873,0.364570,signage
0.127744,0.361998,0.138595,0.383860,billboard
0.147275,0.342171,0.152580,0.352888,signage
0.476703,0.456722,0.481341,0.461985,branding
0.362152,0.357956,0.371676,0.377299,branding
0.372340,0.360614,0.381753,0.379513,branding
0.382196,0.361352,0.392163,0.381285,branding
0.088362,0.355988,0.093063,0.363886,signage
0.112367,0.360291,0.119199,0.367150,signage
