x1,y1,x2,y2,label
0.713203,0.347266,0.737936,0.366462,signage
0.231943,0.461019,0.256766,0.504146,billboard
0.283496,0.487066,0.295456,0.497875,signage
0.327217,0.485295,0.338513,0.495394,signage
0.357523,0.534505,0.378749,0.577571,billboard
0.421017,0.530187,0.431458,0.542632,signage
0.415670,0.534237,0.423865,0.549445,signage
0.463010,0.562753,0.466895,0.568497,signage
0.468922,0.562528,0.472639,0.568159,signage
0.477369,0.562528,0.481085,0.568497,signage
0.482352,0.562978,0.486153,0.568609,signage
0.465966,0.569285,0.474075,0.577168,signage
0.475004,0.569623,0.482690,0.577394,signage
0.494599,0.571200,0.500005,0.581786,signage
0.184346,0.515540,0.201622,0.520265,signage
0.074933,0.483995,0.162356,0.517408,branding
0.065243,0.490341,0.075209,0.515227,billboard
0.050564,0.513053,0.060712,0.525859,signage
0.045309,0.458447,0.056725,0.486233,signage
0.214563,0.445183,0.235604,0.468808,signage
0.359081,0.474714,0.420543,0.493909,signage
0.530177,0.473976,0.602159,0.507198,signage
0.881783,0.369140,0.970930,0.420819,signage
0.520424,0.533802,0.528200,0.545777,signage
0.081727,0.356741,0.116299,0.402007,branding
