x1,y1,x2,y2,label
0.977627,0.658186,0.985681,0.664917,signage
0.975786,0.655424,1.000000,0.642481,signage
0.946792,0.677860,0.957837,0.683901,signage
0.962440,0.679932,0.980388,0.696500,signage
0.941039,0.661465,0.959678,0.678378,signage
0.871315,0.684591,0.882360,0.695637,signage
0.882590,0.684764,0.900539,0.698571,signage
0.000000,0.676245,0.018165,0.689235,signage
0.019970,0.677868,0.059177,0.712081,signage
0.101589,0.700064,0.116292,0.706002,signage
0.085190,0.706002,0.095180,0.709819,signage
0.091222,0.697378,0.098384,0.704729,signage
0.062947,0.685927,0.096311,0.707133,signage
0.856022,0.630741,0.894412,0.646245,signage
0.566783,0.701616,0.624511,0.722192,signage
0.564496,0.669893,0.675381,0.701616,signage
0.479904,0.668607,0.562210,0.703759,signage
0.454183,0.629598,0.496479,0.649317,signage
0.411315,0.642458,0.431320,0.667750,signage
0.351872,0.641601,0.406743,0.672037,signage
0.191832,0.648814,0.315252,0.668977,signage
0.025032,0.648356,0.105682,0.676767,signage
0.987292,0.692012,0.992815,0.693911,branding
0.114324,0.712081,0.121889,0.715067,branding
0.676477,0.939255,0.708249,0.970416,branding
0.337480,0.506585,0.367011,0.587796,billboard
0.344436,0.347510,0.746060,0.541530,billboard
0.772807,0.554250,0.945564,0.616898,billboard
