x1,y1,x2,y2,label
0.312001,0.558531,0.362870,0.574821,branding
0.233695,0.555102,0.277135,0.572249,branding
0.543875,0.395112,0.298766,0.487818,billboard
0.378078,0.582424,0.443469,0.613115,billboard
0.000000,0.576096,0.251094,0.652033,billboard
0.525312,0.533697,0.584375,0.547935,signage
0.915124,0.542557,0.975452,0.562490,billboard
0.630078,0.629778,0.640203,0.635895,branding
0.304816,0.595033,0.316092,0.601074,branding
0.870983,0.536084,0.892297,0.551877,billboard
0.875605,0.553033,0.884080,0.563240,signage
