x1,y1,x2,y2,label
0.152937,0.489882,0.192804,0.638075,signage
0.248075,0.653378,0.290962,0.673513,signage
0.316634,0.681969,0.338078,0.709353,signage
0.279183,0.539817,0.352273,0.639283,signage
0.386703,0.643713,0.407543,0.670694,signage
0.410563,0.644518,0.592381,0.611094,signage
0.558253,0.529749,0.587247,0.566395,signage
0.656410,0.617940,0.764535,0.661432,signage
0.802892,0.539011,0.838229,0.735931,signage
0.847261,0.719810,0.864807,0.729639,signage
0.905297,0.728670,0.919416,0.740713,signage
0.944749,0.714688,0.978698,0.742235,signage
0.959803,0.740713,0.977348,0.748326,signage
0.966343,0.680082,0.984927,0.749849,signage
0.966320,0.750874,0.975407,0.759212,signage
0.172385,0.670156,0.218896,0.687472,signage
0.145353,0.670156,0.163626,0.686868,signage
0.117505,0.661072,0.128254,0.681917,signage
0.107147,0.659769,0.118091,0.681657,signage
0.034644,0.670192,0.048128,0.691558,signage
0.002985,0.604789,0.019401,0.657163,signage
0.019484,0.515809,0.089035,0.629921,billboard
0.108937,0.695957,0.119568,0.713169,signage
0.230079,0.609829,0.261565,0.658153,billboard
0.480092,0.707211,0.490517,0.730276,signage
0.804177,0.773544,0.811008,0.778172,branding
0.868457,0.771752,0.875848,0.777874,branding
0.758934,0.780917,0.763131,0.785463,branding
0.941460,0.786876,0.947104,0.790879,branding
0.888899,0.730207,0.898636,0.744723,signage
0.905613,0.773243,0.913203,0.779990,branding
0.209489,0.756737,0.216631,0.764710,branding
0.295037,0.747877,0.304505,0.756072,branding
0.242213,0.695829,0.249854,0.702252,branding
