x1,y1,x2,y2,label
0.698095,0.468721,0.643325,0.557089,signage
0.659417,0.594229,0.681856,0.619992,signage
0.487288,0.364053,0.690019,0.498749,billboard
0.558759,0.524405,0.627482,0.605956,signage
0.273421,0.507632,0.418284,0.568229,signage
0.246379,0.577380,0.256390,0.586091,signage
0.249854,0.573874,0.269362,0.578876,signage
0.273959,0.587914,0.282275,0.602229,signage
0.304064,0.571774,0.318484,0.581739,signage
0.568889,0.635677,0.580155,0.648966,signage
0.602833,0.595617,0.614245,0.632403,signage
