x1,y1,x2,y2,label
0.472918,0.766767,0.538699,0.802382,billboard
0.360094,0.761983,0.413516,0.798661,billboard
0.251088,0.493741,0.304359,0.531775,signage
0.424991,0.596388,0.529471,0.634422,signage
0.002336,0.603346,0.083916,0.643213,signage
0.850300,0.793520,0.860569,0.808017,branding
0.201435,0.831474,0.212114,0.843340,branding
0.004520,0.717170,0.023315,0.736154,billboard
0.078746,0.665297,0.104494,0.686560,signage
0.349309,0.781799,0.354864,0.789860,branding
0.694883,0.682402,0.734117,0.708980,signage
