x1,y1,x2,y2,label
0.233887,0.907973,0.204610,0.991860,signage
0.647508,0.634718,0.712292,0.679568,billboard
0.463123,0.386268,0.533555,0.551052,signage
0.584053,0.524474,0.663787,0.603322,signage
0.683721,0.552824,0.600000,0.637874,billboard
0.721595,0.323367,0.877741,0.523588,billboard
0.085756,0.589037,0.211586,0.754319,signage
0.331312,0.232060,0.426993,0.519103,signage
0.967359,0.686907,0.997561,0.722747,billboard
0.881282,0.700196,0.925680,0.731204,billboard
0.922575,0.722240,0.959357,0.739010,signage
0.930337,0.747553,0.943976,0.755479,signage
0.945375,0.746154,0.959538,0.754314,signage
0.873684,0.721907,0.886623,0.758044,signage
0.817030,0.741025,0.827347,0.765971,signage
0.797621,0.742190,0.813184,0.759443,billboard
0.625053,0.694790,0.682456,0.724732,signage
