x1,y1,x2,y2,label
0.091966,0.515856,0.920719,0.632135,signage
0.127742,0.620630,0.171888,0.636477,signage
0.128874,0.614121,0.229994,0.629120,signage
0.227353,0.627705,0.163587,0.701847,signage
0.241902,0.663270,0.286849,0.628372,signage
0.330211,0.640697,0.293185,0.663715,signage
0.304867,0.665349,0.315559,0.670992,signage
0.332785,0.636539,0.350605,0.655547,signage
0.330409,0.655993,0.349813,0.668170,signage
0.380107,0.634460,0.419708,0.672328,signage
0.445432,0.672523,0.473500,0.685621,signage
0.428279,0.621065,0.503127,0.642584,signage
0.498449,0.651004,0.531507,0.679774,signage
0.503127,0.689130,0.538056,0.710883,signage
0.540551,0.697083,0.570490,0.712286,signage
0.800271,0.641630,0.822533,0.646596,branding
0.557987,0.660509,0.574933,0.670041,signage
0.468625,0.671391,0.491599,0.677922,signage
0.489746,0.651382,0.499009,0.677783,signage
0.352167,0.640098,0.359165,0.645071,branding
0.367637,0.640190,0.374268,0.646360,branding
0.128158,0.638702,0.159704,0.648596,signage
0.119937,0.664942,0.146703,0.670965,signage
0.144218,0.664799,0.156836,0.673259,signage
0.147851,0.655192,0.158940,0.668670,signage
0.126055,0.647162,0.150910,0.665946,signage
0.096213,0.600273,0.106646,0.606300,branding
0.974344,0.718902,0.984097,0.723966,branding
