x1,y1,x2,y2,label
0.687069,0.202019,0.867237,0.403399,signage
0.000000,0.276642,0.055328,0.337976,signage
0.000894,0.460644,0.049962,0.499489,signage
0.168492,0.565441,0.180865,0.573002,branding
0.274862,0.550319,0.279845,0.556963,branding
0.429691,0.565899,0.435877,0.573002,branding
0.403743,0.543445,0.417146,0.548027,branding
0.684112,0.593931,0.692129,0.602598,branding
0.580761,0.553775,0.590295,0.565620,branding
0.336578,0.466794,0.344610,0.492082,billboard
0.356163,0.508452,0.365072,0.521741,billboard
0.446015,0.512474,0.452014,0.520344,signage
0.431693,0.504475,0.440789,0.517893,billboard
0.363864,0.462303,0.370549,0.467651,signage
0.792627,0.515718,0.802594,0.533293,signage
0.802273,0.512288,0.807899,0.522791,signage
0.856447,0.510788,0.864163,0.523434,signage
0.807899,0.541653,0.821402,0.572089,signage
