x1,y1,x2,y2,label
0.375964,0.473736,0.415484,0.434765,signage
0.328622,0.471540,0.458297,0.482518,signage
0.462002,0.445194,0.529928,0.470991,signage
0.578916,0.468796,0.619671,0.433118,signage
0.531471,0.467293,0.671525,0.480815,signage
0.704172,0.436696,0.770775,0.449624,signage
0.705858,0.455244,0.778784,0.466485,signage
0.833630,0.483584,0.863687,0.490222,signage
0.990692,0.444521,1.000000,0.456951,signage
0.981622,0.469044,1.000000,0.485505,signage
0.176198,0.467291,0.201327,0.481444,signage
0.120158,0.502944,0.140654,0.516329,signage
0.000000,0.428482,0.014582,0.439634,signage
0.040217,0.544956,0.045869,0.550778,branding
0.225720,0.546310,0.230007,0.551788,branding
0.253980,0.498194,0.274452,0.516324,signage
0.986627,0.602855,0.999143,0.617739,branding
