x1,y1,x2,y2,label
0.010650,0.313952,0.044355,0.423290,billboard
0.052347,0.432093,0.072153,0.461281,signage
0.229562,0.464143,0.315538,0.476535,signage
0.314376,0.461819,0.413713,0.478085,signage
0.453216,0.430836,0.475291,0.461044,signage
0.532221,0.427738,0.571143,0.447877,signage
0.592405,0.484142,0.629844,0.515822,signage
0.693649,0.450201,0.818085,0.470435,signage
0.871876,0.424331,0.917710,0.451292,signage
0.887716,0.449045,0.932201,0.466120,signage
0.890075,0.471063,0.953770,0.486790,signage
0.588733,0.460322,0.616231,0.468975,signage
