x1,y1,x2,y2,label
0.719466,0.509732,0.732565,0.514225,signage
0.692465,0.524839,0.698167,0.537867,signage
0.608575,0.505136,0.620384,0.513356,signage
0.586599,0.536148,0.597836,0.552441,signage
0.585603,0.475709,0.606481,0.489489,signage
0.559039,0.405957,0.606989,0.438134,signage
0.522130,0.437187,0.472604,0.395547,signage
0.514997,0.451435,0.529372,0.475938,signage
0.483430,0.430391,0.510344,0.464791,signage
0.433405,0.396081,0.475853,0.445545,signage
0.457382,0.320868,0.537222,0.397637,signage
0.151989,0.278882,0.000000,0.136198,signage
0.244378,0.000000,0.417819,0.323974,signage
0.782392,0.601759,0.767624,0.613087,branding
0.737027,0.502805,0.716050,0.493261,billboard
