x1,y1,x2,y2,label
0.118605,0.634551,0.152270,0.665116,branding
0.371982,0.491694,0.501329,0.520930,signage
0.321484,0.444518,0.201883,0.504319,billboard
0.651938,0.389369,0.788372,0.463787,billboard
0.782171,0.195349,0.963787,0.338206,signage
0.735216,0.330897,1.000000,0.451163,signage
0.771539,0.454485,1.000000,0.498339,signage
0.069794,0.539211,0.129981,0.564312,billboard
0.221669,0.507359,0.201419,0.531828,signage
0.126044,0.534148,0.165419,0.542586,signage
0.694432,0.544898,0.715103,0.551266,signage
