x1,y1,x2,y2,label
0.029068,0.303004,0.529942,0.441305,signage
0.607192,0.388975,0.891269,0.482421,signage
0.055025,0.473423,0.173573,0.579768,signage
0.000000,0.510034,0.031780,0.583254,signage
0.149166,0.574538,0.207277,0.626838,signage
0.354881,0.591099,0.394397,0.629453,signage
0.396721,0.508290,0.479240,0.585869,signage
0.488538,0.535312,0.526892,0.700931,signage
0.587328,0.538799,0.710525,0.635555,signage
0.598950,0.503060,0.674495,0.557104,signage
0.632655,0.631196,0.676820,0.685240,signage
0.722147,0.586741,0.759339,0.644272,signage
0.810477,0.676524,0.833722,0.699187,signage
0.727958,0.475167,0.937160,0.551002,signage
0.918565,0.503932,1.000000,0.546644,signage
0.781421,0.530954,0.831397,0.579768,signage
0.777934,0.593714,0.822099,0.641657,signage
0.812801,0.595458,0.851155,0.632068,signage
