x1,y1,x2,y2,label
0.232004,0.531192,0.347668,0.547065,signage
0.450043,0.526024,0.557340,0.538575,signage
0.419035,0.539683,0.458902,0.581026,signage
0.538637,0.537099,0.570629,0.574013,signage
0.618863,0.526024,0.649871,0.585087,signage
0.109450,0.537099,0.178356,0.549649,signage
0.108958,0.552233,0.137997,0.568106,signage
0.255981,0.557623,0.305425,0.565976,signage
0.266781,0.566735,0.296312,0.572937,signage
0.263406,0.574076,0.299350,0.577999,signage
0.259862,0.578506,0.303400,0.582556,signage
0.306100,0.574835,0.316731,0.584074,signage
0.303062,0.562432,0.312850,0.572431,signage
0.340187,0.552181,0.351156,0.563191,signage
0.339512,0.566356,0.351325,0.574456,signage
0.323818,0.552054,0.334112,0.562938,signage
0.286187,0.548890,0.316225,0.556484,signage
0.399648,0.566299,0.409098,0.571836,signage
0.887925,0.524751,0.951504,0.535695,signage
0.914065,0.549976,0.936589,0.574302,signage
