x1,y1,x2,y2,label
0.414907,0.370064,0.473353,0.470783,signage
0.609706,0.474135,0.690627,0.483337,signage
0.585591,0.440966,0.606284,0.448178,signage
0.585347,0.449182,0.602632,0.463516,signage
0.613744,0.462461,0.653766,0.469474,signage
0.656945,0.441842,0.691917,0.452502,signage
0.688737,0.445209,0.702764,0.452502,signage
0.702764,0.445630,0.718286,0.452923,signage
0.689376,0.475957,0.762424,0.484303,signage
0.787093,0.477927,0.814196,0.484807,signage
0.787649,0.472611,0.803494,0.477823,signage
0.812806,0.477719,0.827539,0.484703,signage
0.762769,0.477406,0.788065,0.483452,signage
0.764436,0.448420,0.815885,0.457256,signage
0.471833,0.469163,0.517201,0.478305,signage
0.447682,0.468148,0.458064,0.517240,signage
0.377993,0.470454,0.399179,0.505442,signage
0.378401,0.487566,0.399383,0.504831,signage
0.340377,0.486073,0.353921,0.493035,signage
0.344333,0.474317,0.354073,0.487557,signage
0.344859,0.457228,0.350890,0.467209,signage
0.285101,0.453671,0.332676,0.473409,billboard
0.323566,0.458100,0.332676,0.489225,signage
0.317492,0.462528,0.324409,0.491123,signage
0.310576,0.464046,0.318167,0.492768,signage
0.303659,0.468222,0.311756,0.493021,signage
0.291763,0.474150,0.317762,0.484175,signage
0.226943,0.483212,0.235463,0.501523,signage
0.235151,0.491705,0.251462,0.495445,signage
0.253228,0.481419,0.272552,0.491705,billboard
0.078898,0.457653,0.000000,0.482267,billboard
0.107167,0.494109,0.114914,0.504278,signage
0.235616,0.497481,0.247386,0.500353,signage
0.271512,0.478516,0.278145,0.488352,signage
0.868338,0.479695,0.884910,0.486115,signage
0.972043,0.470625,1.000000,0.480380,signage
0.981091,0.469494,0.993533,0.493387,signage
