x1,y1,x2,y2,label
0.117094,0.573529,0.179043,0.599586,signage
0.140085,0.600097,0.160522,0.638416,signage
0.517069,0.209083,0.380427,0.549268,signage
0.612477,0.620264,0.632510,0.647467,billboard
0.868097,0.678030,0.883075,0.685478,branding
0.725565,0.642426,0.735299,0.647154,branding
0.891058,0.584494,0.904333,0.610869,signage
0.768951,0.560026,0.785450,0.614779,signage
0.806227,0.560515,0.816921,0.582270,signage
0.447791,0.638084,0.472565,0.668888,signage
0.949477,0.599900,0.933896,0.609166,signage
