x1,y1,x2,y2,label
0.790970,0.458529,0.884795,0.502062,signage
0.679617,0.449822,0.742167,0.477317,signage
0.667932,0.489231,0.714329,0.527265,signage
0.618098,0.452114,0.635969,0.498396,signage
0.578574,0.488315,0.596446,0.612957,signage
0.494372,0.533223,0.549018,0.542387,signage
0.506401,0.455780,0.585104,0.491523,signage
0.432509,0.486940,0.449350,0.599210,signage
0.329749,0.516678,0.390598,0.550250,signage
0.160095,0.411025,0.199274,0.485719,billboard
0.760212,0.155909,0.821673,0.326451,billboard
