x1,y1,x2,y2,label
0.215283,0.550097,0.243738,0.612529,signage
0.340419,0.565501,0.436872,0.599309,signage
0.426321,0.604659,0.482084,0.661946,signage
0.470505,0.559967,0.532058,0.595314,signage
0.556080,0.661636,0.585511,0.715890,signage
0.536920,0.677174,0.551932,0.695874,branding
0.622545,0.583281,0.665885,0.662737,signage
0.661452,0.582624,0.707255,0.658797,signage
0.699375,0.584594,0.745177,0.659454,signage
0.626485,0.511704,0.730895,0.554387,signage
0.862645,0.215307,0.748755,0.432431,billboard
0.355902,0.612774,0.367783,0.623681,signage
0.382001,0.628615,0.390377,0.636666,signage
0.379275,0.637705,0.390182,0.646794,signage
0.522821,0.613553,0.545220,0.620045,signage
0.549115,0.612254,0.567229,0.619526,signage
0.515553,0.628218,0.520879,0.640370,signage
0.523644,0.629993,0.527945,0.636410,signage
0.521391,0.635591,0.528866,0.642555,signage
0.530403,0.636547,0.534397,0.642282,signage
0.547710,0.638049,0.552011,0.644330,signage
0.559896,0.635728,0.565119,0.645422,signage
0.565734,0.636683,0.570752,0.645149,signage
0.957045,0.634498,0.971420,0.644507,signage
