x1,y1,x2,y2,label
0.617005,0.348551,0.654886,0.365964,branding
0.831763,0.111850,0.888271,0.179732,signage
0.888750,0.137351,0.905511,0.146330,signage
0.891623,0.111132,0.947653,0.183683,signage
0.938509,0.189538,0.947737,0.195075,branding
0.974139,0.021937,0.840185,0.000000,signage
0.391997,0.013709,0.551465,0.048714,signage
0.330197,0.014681,0.254569,0.038018,signage
0.520782,0.156323,0.535907,0.162805,branding
0.175904,0.053973,0.199983,0.061640,signage
0.152052,0.061129,0.165000,0.069307,signage
0.177267,0.089411,0.181583,0.093329,branding
0.105483,0.018195,0.137968,0.069647,billboard
0.060959,0.034551,0.077315,0.044262,signage
0.020297,0.045284,0.030065,0.053292,signage
0.023250,0.057721,0.033245,0.069307,signage
0.096298,0.071787,0.112704,0.079293,signage
0.089571,0.128389,0.095477,0.132326,branding
