x1,y1,x2,y2,label
0.564281,0.416853,0.327020,0.620365,signage
0.628372,0.394758,0.000000,0.603690,billboard
0.214960,0.646227,0.455152,0.792804,signage
0.368623,0.742453,0.490957,0.821896,signage
0.474546,0.786091,0.523778,0.850987,signage
0.831561,0.911065,0.875329,0.954029,branding
0.773756,0.843644,0.780467,0.849181,branding
0.578781,0.734401,0.607916,0.763140,signage
0.610449,0.744376,0.652251,0.766227,signage
0.620583,0.775490,0.653518,0.791404,signage
0.630083,0.765040,0.645917,0.777153,signage
0.604749,0.766465,0.648134,0.777153,signage
0.661031,0.810755,0.667627,0.819219,billboard
