x1,y1,x2,y2,label
0.251241,0.190855,0.400726,0.355642,billboard
0.227700,0.387030,0.350702,0.452945,signage
0.372477,0.375259,0.444866,0.441959,billboard
0.695776,0.474510,0.716913,0.509774,billboard
0.641013,0.510166,0.671640,0.523978,signage
0.643265,0.532385,0.670139,0.538791,signage
0.605431,0.489347,0.640863,0.514169,billboard
0.597324,0.505161,0.605731,0.542394,signage
0.563243,0.528382,0.573753,0.542194,signage
0.546278,0.520174,0.551383,0.541794,signage
0.529913,0.521175,0.541023,0.531985,billboard
0.710197,0.533548,0.720300,0.539518,signage
