x1,y1,x2,y2,label
0.024205,0.352713,0.101566,0.497627,signage
0.108369,0.084190,0.249011,0.329299,billboard
0.431577,0.599088,0.522702,0.671861,signage
0.498022,0.497838,0.536466,0.568713,signage
0.501819,0.573142,0.542161,0.588963,signage
0.524348,0.590094,0.538980,0.601969,signage
0.522440,0.608189,0.541101,0.634202,signage
0.818035,0.716046,0.836030,0.735610,signage
0.897769,0.652923,0.938467,0.685038,signage
0.819399,0.592964,0.862589,0.607202,signage
0.808721,0.610050,0.862589,0.644538,signage
0.809433,0.643905,0.862589,0.656245,signage
0.809670,0.653714,0.836722,0.673331,signage
0.835299,0.655296,0.863775,0.663839,signage
0.834587,0.662889,0.863301,0.674280,signage
0.809433,0.672382,0.863301,0.683772,signage
0.809907,0.683772,0.852385,0.691682,signage
0.790638,0.790659,0.797874,0.795574,branding
0.790774,0.791023,0.797874,0.795938,branding
