x1,y1,x2,y2,label
0.277908,0.052805,0.816143,0.204875,signage
0.215237,0.099808,0.606010,0.392888,signage
0.547026,0.171696,0.841949,0.390124,signage
0.263162,0.337590,0.613383,0.614081,signage
0.547026,0.348650,0.889874,0.605786,signage
0.269277,0.807417,0.398201,0.953607,signage
0.086463,0.701644,0.172076,0.722520,signage
0.083510,0.750671,0.102489,0.764272,signage
0.197380,0.750354,0.255158,0.763323,signage
0.310406,0.720622,0.246302,0.759844,signage
0.258954,0.752569,0.272028,0.774710,signage
0.025699,0.775234,0.000000,0.802525,signage
