x1,y1,x2,y2,label
0.314369,0.443522,0.623339,0.513289,signage
0.713040,0.162791,0.492525,0.415282,billboard
0.831320,0.593023,0.857898,0.638125,billboard
0.747392,0.496077,0.787259,0.519237,signage
0.186833,0.558752,0.226176,0.592674,signage
0.204669,0.424812,0.220930,0.487760,signage
0.840776,0.397873,0.858969,0.416013,branding
0.818835,0.405312,0.832299,0.422098,branding
0.806421,0.408110,0.820584,0.425595,branding
0.784913,0.414638,0.797153,0.430025,branding
0.768477,0.419534,0.776171,0.428859,branding
0.770925,0.391790,0.782990,0.403680,branding
0.752215,0.399251,0.762532,0.410674,branding
0.737353,0.406012,0.746970,0.414638,branding
0.720217,0.411141,0.729834,0.420699,branding
0.726511,0.366611,0.738052,0.382231,branding
0.743647,0.359383,0.757811,0.375703,branding
0.763231,0.352156,0.776695,0.369408,branding
0.802749,0.340033,0.818311,0.358917,branding
0.698254,0.379450,0.705491,0.394321,branding
0.683066,0.383722,0.694219,0.400175,branding
0.640707,0.405237,0.652928,0.417419,branding
0.623028,0.409983,0.629791,0.420583,branding
0.828215,0.325614,0.844731,0.342700,branding
0.831917,0.286317,0.845016,0.301504,branding
0.807570,0.297328,0.823944,0.315173,branding
0.786639,0.306061,0.801447,0.324096,branding
0.766848,0.317261,0.779235,0.332069,branding
0.749762,0.323336,0.763431,0.338524,branding
0.732676,0.332259,0.743355,0.347257,branding
0.721571,0.338524,0.731822,0.350484,branding
0.704813,0.345480,0.713568,0.354459,branding
0.845572,0.475829,0.859240,0.493105,branding
0.818092,0.481145,0.835320,0.498041,branding
0.806274,0.445264,0.819943,0.461781,branding
0.830052,0.440518,0.844860,0.456845,branding
0.829767,0.250510,0.846018,0.266977,branding
0.806367,0.262788,0.822076,0.279255,branding
0.770617,0.286910,0.784050,0.302366,branding
0.784809,0.279977,0.798459,0.295144,branding
0.750900,0.290088,0.763467,0.311033,branding
0.736462,0.297667,0.748336,0.311302,branding
0.721902,0.306911,0.730829,0.318929,branding
0.698129,0.321316,0.704064,0.327140,branding
0.722654,0.276223,0.733292,0.291155,branding
0.739340,0.265473,0.751546,0.281748,branding
0.756362,0.259201,0.764313,0.273536,branding
0.731053,0.243225,0.740796,0.255767,branding
0.750650,0.232922,0.759385,0.243971,branding
0.768568,0.223216,0.776183,0.234116,branding
0.786822,0.211570,0.798133,0.223664,branding
0.714367,0.254125,0.723886,0.265323,branding
0.792957,0.239172,0.800615,0.254568,branding
0.807786,0.227342,0.823101,0.245655,branding
0.832703,0.211298,0.851421,0.232366,branding
0.819165,0.190681,0.830762,0.206145,branding
0.831487,0.148639,0.814453,0.169660,branding
0.807567,0.163861,0.793251,0.183674,branding
0.761901,0.182708,0.769874,0.195030,branding
0.735987,0.203004,0.748129,0.220158,branding
0.720403,0.217017,0.729826,0.230790,branding
0.808170,0.117137,0.818332,0.128603,branding
0.794490,0.126518,0.804261,0.137201,branding
0.773970,0.141370,0.782764,0.151793,branding
0.819700,0.072320,0.831426,0.088735,branding
0.797226,0.090559,0.810124,0.105933,branding
0.783546,0.099419,0.795858,0.116356,branding
0.762440,0.115574,0.775338,0.132511,branding
0.741725,0.131990,0.754037,0.147103,branding
0.724332,0.145540,0.735471,0.160131,branding
0.710847,0.157265,0.720228,0.168991,branding
0.936320,0.145087,0.947533,0.164605,branding
0.955319,0.148409,0.970269,0.167928,branding
0.942861,0.217346,0.955942,0.236865,branding
0.964663,0.219007,0.980236,0.237695,branding
0.954385,0.257213,0.965597,0.271748,branding
0.974318,0.256383,0.988023,0.274240,branding
0.963417,0.290021,0.980859,0.308293,branding
0.946287,0.287114,0.957188,0.306217,branding
0.970892,0.327396,0.984908,0.347330,branding
0.987400,0.293343,1.000000,0.312861,branding
0.956254,0.362280,0.964040,0.373908,branding
0.978056,0.365187,0.988023,0.376815,branding
0.964352,0.400901,0.980859,0.419174,branding
0.986154,0.402147,1.000000,0.422080,branding
0.954385,0.439107,0.968712,0.456134,branding
0.976810,0.439938,0.992695,0.456964,branding
0.965286,0.476898,0.981482,0.494755,branding
0.988334,0.476482,1.000000,0.495170,branding
