x1,y1,x2,y2,label
0.173785,0.396296,0.486742,0.458488,signage
0.241160,0.549502,0.261360,0.584762,signage
0.257771,0.544186,0.283154,0.581750,signage
0.283286,0.542237,0.308536,0.580332,signage
0.289798,0.536035,0.304283,0.547375,signage
0.298303,0.551628,0.315446,0.578383,signage
0.222821,0.559070,0.241958,0.586179,signage
0.225479,0.584939,0.259100,0.609214,signage
0.226011,0.607442,0.255512,0.627818,signage
0.251260,0.582990,0.264549,0.601949,signage
0.259366,0.578029,0.282888,0.609214,signage
0.283154,0.579978,0.307871,0.622857,signage
0.304948,0.577497,0.333918,0.620554,signage
0.329931,0.575017,0.356509,0.619491,signage
0.318104,0.545072,0.330197,0.570233,signage
0.332323,0.526999,0.351061,0.535150,signage
0.328070,0.553223,0.339366,0.569169,signage
0.345479,0.544895,0.355446,0.562436,signage
0.344416,0.561373,0.354117,0.574308,signage
0.375778,0.528948,0.389333,0.543300,signage
0.379765,0.546312,0.391592,0.561728,signage
0.379366,0.563145,0.392389,0.580332,signage
0.359167,0.561905,0.366343,0.573599,signage
0.359167,0.544718,0.363021,0.559424,signage
0.403951,0.515482,0.420163,0.532846,signage
0.401160,0.530543,0.422423,0.546312,signage
0.401559,0.574131,0.422954,0.588483,signage
0.419499,0.569347,0.431459,0.587420,signage
0.431459,0.566157,0.461360,0.610277,signage
0.415247,0.474906,0.439433,0.492802,signage
0.442356,0.472425,0.501625,0.513533,signage
0.495911,0.472602,0.510795,0.512115,signage
0.495247,0.461085,0.543486,0.478095,signage
0.478635,0.559424,0.498569,0.606202,signage
0.523818,0.558361,0.564748,0.600709,signage
0.374074,0.481435,0.452083,0.516446,signage
0.327690,0.487312,0.391132,0.523602,signage
0.278431,0.483990,0.322131,0.506224,signage
0.659517,0.322213,0.749930,0.379166,signage
0.608971,0.372522,0.792645,0.426627,signage
0.762976,0.521924,0.815823,0.581570,signage
0.745824,0.508635,0.809565,0.531195,signage
0.682083,0.515125,0.748142,0.533359,signage
0.684864,0.548502,0.706421,0.579407,signage
0.679533,0.468459,0.722645,0.496891,signage
0.765758,0.472167,0.786387,0.514198,signage
0.697149,0.502145,0.708043,0.523160,signage
0.686023,0.505235,0.699931,0.520997,signage
0.650328,0.494110,0.679533,0.523469,signage
0.665626,0.511416,0.682547,0.534904,signage
0.595627,0.484529,0.622282,0.513889,signage
0.622282,0.508017,0.642448,0.519761,signage
0.580561,0.525942,0.613024,0.544546,signage
0.581415,0.535813,0.600210,0.549862,signage
0.623845,0.551001,0.646626,0.594665,signage
0.736484,0.434697,0.680534,0.474564,signage
