x1,y1,x2,y2,label
0.448911,0.480399,0.545773,0.586047,billboard
0.586780,0.439620,0.613358,0.458687,signage
0.692707,0.435286,0.717744,0.455220,signage
0.747019,0.439620,0.792471,0.450887,signage
0.712737,0.426331,0.749330,0.460998,billboard
0.937367,0.450813,0.986585,0.489499,signage
0.943667,0.484183,0.981467,0.506922,signage
0.926342,0.508694,0.961385,0.556239,signage
0.935398,0.426302,0.954692,0.462921,signage
0.986585,0.428369,1.000000,0.449336,signage
0.988554,0.449632,1.000000,0.465283,signage
0.534827,0.421105,0.569903,0.436021,branding
