x1,y1,x2,y2,label
0.857723,0.482158,0.864649,0.488803,signage
0.866510,0.467400,0.877934,0.475444,signage
0.810090,0.463379,0.824312,0.472296,signage
0.770689,0.480864,0.782346,0.486984,signage
0.747608,0.467575,0.759965,0.475094,signage
0.640984,0.464975,0.654629,0.473376,signage
0.662369,0.436411,0.687012,0.448020,signage
0.628764,0.432592,0.650149,0.445118,signage
0.640577,0.444048,0.653000,0.465586,signage
0.614915,0.444354,0.626524,0.461767,signage
0.567258,0.472307,0.573368,0.477958,signage
0.494492,0.472022,0.533521,0.480642,signage
0.569422,0.438176,0.603963,0.454493,signage
0.475222,0.437167,0.543629,0.452475,signage
0.403450,0.433971,0.439560,0.442886,signage
0.404833,0.425744,0.437528,0.434762,signage
0.403989,0.418942,0.439216,0.426219,signage
0.405044,0.410082,0.437106,0.418151,signage
0.404411,0.400907,0.437950,0.409766,signage
0.427825,0.468934,0.448708,0.487602,signage
0.374880,0.457385,0.388380,0.470358,signage
0.349778,0.460233,0.370661,0.475262,signage
0.002167,0.474625,0.016440,0.494190,signage
0.245246,0.470553,0.261057,0.493451,signage
0.196179,0.470145,0.214715,0.493043,signage
0.282499,0.432756,0.358992,0.457713,signage
0.224589,0.417522,0.233232,0.436645,signage
0.209895,0.417846,0.231071,0.428218,signage
0.229343,0.438266,0.275152,0.451879,signage
0.158035,0.434052,0.208599,0.448638,signage
0.012396,0.421087,0.022768,0.440535,signage
0.106176,0.398075,0.124759,0.452203,signage
0.064688,0.412336,0.100558,0.442155,signage
0.284850,0.475782,0.311583,0.511919,billboard
0.956209,0.386670,1.000000,0.431128,billboard
0.889475,0.464373,0.904817,0.478473,billboard
0.913893,0.462266,0.956677,0.511695,billboard
0.822274,0.454974,0.843018,0.472800,billboard
0.685062,0.435526,0.712504,0.460160,billboard
0.062378,0.303643,0.238343,0.370546,billboard
