x1,y1,x2,y2,label
0.854368,0.602091,0.934102,0.660562,billboard
0.151213,0.399893,0.211656,0.449620,signage
0.304572,0.483057,0.325470,0.503633,signage
0.146467,0.536967,0.261683,0.561419,signage
0.275238,0.544940,0.323876,0.563545,signage
0.740436,0.453813,0.763692,0.476302,signage
0.742736,0.485843,0.759092,0.501176,signage
0.742480,0.522302,0.767014,0.544110,signage
0.741969,0.543428,0.765992,0.565236,signage
0.662491,0.548880,0.674757,0.559103,signage
0.575890,0.455013,0.591415,0.475457,signage
0.550589,0.491813,0.565156,0.528869,signage
0.548687,0.545107,0.567728,0.590329,billboard
0.483506,0.612972,0.489388,0.618419,branding
0.406549,0.580077,0.410307,0.584434,branding
0.343317,0.595544,0.348383,0.600337,branding
0.511252,0.580623,0.514803,0.584900,branding
