x1,y1,x2,y2,label
0.513466,0.410482,0.409534,0.464774,signage
0.677378,0.466713,0.552246,0.522557,signage
0.709523,0.729346,0.821707,0.742391,signage
0.568316,0.676968,0.671124,0.697997,signage
0.436387,0.609502,0.458069,0.627754,signage
0.504086,0.673883,0.440812,0.686825,signage
0.440812,0.711051,0.470901,0.736935,signage
0.431963,0.674214,0.346122,0.729966,billboard
0.326898,0.685176,0.270107,0.729453,billboard
0.211614,0.679823,0.186539,0.690081,signage
0.089279,0.659844,0.128533,0.666327,signage
0.064002,0.660957,0.054567,0.665933,signage
0.220536,0.732687,0.225344,0.735091,branding
0.119207,0.726261,0.123019,0.728117,branding
