x1,y1,x2,y2,label
0.073274,0.420635,0.239756,0.442291,signage
0.344592,0.421619,0.412883,0.439830,signage
0.242340,0.458041,0.292174,0.516119,signage
0.190364,0.463819,0.242527,0.515077,signage
0.669079,0.407391,0.875488,0.429253,signage
0.752350,0.448115,0.844301,0.464833,signage
0.767460,0.526563,0.824368,0.535994,branding
0.640143,0.546711,0.725343,0.580577,branding
0.434933,0.533969,0.440955,0.539506,branding
0.301420,0.532584,0.308687,0.539506,branding
0.402590,0.474772,0.421149,0.518992,signage
0.354131,0.495851,0.366332,0.502725,signage
0.471310,0.488932,0.482749,0.505846,signage
