x1,y1,x2,y2,label
0.061889,0.399569,0.134389,0.457903,billboard
0.551534,0.514296,0.597587,0.556912,signage
0.523352,0.505589,0.541911,0.550497,signage
0.497773,0.522217,0.508769,0.556614,signage
0.467958,0.498252,0.499042,0.541953,billboard
0.481014,0.605287,0.500788,0.629625,signage
0.573405,0.569139,0.621583,0.579166,signage
0.572465,0.577599,0.583745,0.598907,signage
0.638379,0.491477,0.658139,0.520526,signage
0.660166,0.529984,0.598605,0.547886,signage
0.671190,0.558967,0.678281,0.571099,signage
0.773689,0.401322,0.720455,0.473952,signage
0.781943,0.493210,0.732422,0.535577,signage
0.727470,0.538879,0.779879,0.555385,signage
0.728295,0.552634,0.781943,0.572993,signage
0.936940,0.542564,0.945491,0.553733,signage
0.202596,0.535650,0.228498,0.575638,billboard
0.093403,0.582025,0.134357,0.599921,signage
0.092370,0.539350,0.114052,0.564129,signage
0.148123,0.585237,0.160857,0.596250,signage
0.186224,0.549359,0.191920,0.590888,signage
0.167003,0.587091,0.178215,0.596820,signage
0.182665,0.588040,0.193166,0.597295,signage
0.046156,0.609635,0.058614,0.629093,signage
0.091980,0.620588,0.099399,0.628082,signage
0.099399,0.616891,0.107043,0.631079,signage
0.107043,0.620288,0.114387,0.626183,signage
0.000000,0.539393,0.008949,0.550024,signage
0.014824,0.541351,0.019440,0.549464,signage
0.027833,0.543449,0.034233,0.552961,signage
0.042521,0.545408,0.050495,0.554780,signage
0.054586,0.548205,0.063399,0.557438,signage
0.065497,0.551702,0.074939,0.559536,signage
0.000000,0.649489,0.025719,0.673614,billboard
0.057993,0.646877,0.069080,0.660614,billboard
0.071656,0.657179,0.078823,0.671962,signage
0.176120,0.554568,0.181851,0.581644,signage
0.273657,0.481843,0.285528,0.490503,signage
0.523487,0.602776,0.537714,0.610181,signage
0.972793,0.613156,0.980018,0.622791,branding
0.661082,0.639402,0.672294,0.648040,branding
