x1,y1,x2,y2,label
0.856097,0.522924,0.933272,0.540347,signage
0.959259,0.588188,0.999815,0.605020,signage
0.847434,0.614766,0.876178,0.631303,signage
0.827353,0.594094,0.846253,0.605316,signage
0.768685,0.590845,0.787978,0.610336,signage
0.795853,0.606792,0.819872,0.615356,signage
0.704110,0.592913,0.739153,0.632189,signage
0.674185,0.523810,0.761991,0.540052,signage
0.523773,0.550092,0.615910,0.565449,signage
0.597711,0.587545,0.621944,0.610996,signage
0.562794,0.593408,0.575302,0.620377,signage
0.495828,0.583050,0.519540,0.602202,signage
0.435781,0.553405,0.478515,0.563763,signage
0.335462,0.561613,0.356047,0.574707,signage
0.390182,0.576857,0.395393,0.580961,branding
0.314356,0.593859,0.329730,0.612424,signage
0.232202,0.565082,0.246335,0.572202,signage
0.042781,0.541510,0.064507,0.573309,billboard
0.403570,0.617086,0.408745,0.620262,branding
0.252726,0.612735,0.257587,0.615087,branding
0.137162,0.608972,0.142023,0.611912,branding
0.063066,0.607925,0.066250,0.610313,branding
