x1,y1,x2,y2,label
0.621111,0.194815,0.819444,0.307407,billboard
0.433778,0.453352,0.448403,0.468352,billboard
0.494653,0.473450,0.472903,0.480616,billboard
0.173432,0.430440,0.187448,0.458472,signage
0.070454,0.463371,0.083615,0.478534,signage
0.050648,0.460986,0.058570,0.501193,signage
0.040553,0.445652,0.047070,0.499490,signage
0.338398,0.411335,0.382379,0.433273,signage
0.402154,0.461327,0.423670,0.472507,signage
0.375824,0.471266,0.384053,0.482237,signage
0.378374,0.459677,0.387298,0.466012,signage
0.570652,0.518589,0.576323,0.525233,branding
0.548012,0.459709,0.554615,0.472998,signage
0.536176,0.439942,0.547264,0.462699,signage
0.530570,0.427483,0.542779,0.477815,signage
0.523469,0.442932,0.533685,0.489609,signage
0.514196,0.479963,0.504655,0.446116,signage
