x1,y1,x2,y2,label
0.315615,0.504983,0.598422,0.769103,signage
0.659468,0.209302,0.820183,0.566445,signage
0.619186,0.235880,0.713040,0.373200,signage
0.523908,0.004904,0.682428,0.066920,signage
0.632594,0.163107,0.670562,0.217529,signage
0.594625,0.146654,0.673410,0.169435,signage
0.489262,0.150451,0.525332,0.174498,signage
0.528180,0.181459,0.549537,0.221959,signage
0.516315,0.110584,0.531977,0.133998,signage
0.529129,0.137795,0.543367,0.152982,signage
0.438953,0.177662,0.475024,0.221959,signage
0.351151,0.177662,0.386747,0.230185,signage
0.193889,0.182946,0.225783,0.233444,signage
0.220800,0.182281,0.246215,0.233444,signage
0.161497,0.125138,0.194886,0.184275,signage
0.194886,0.141085,0.233258,0.186932,signage
