x1,y1,x2,y2,label
0.238477,0.492201,0.285688,0.524375,signage
0.353357,0.500245,0.407125,0.529970,signage
0.205167,0.521227,0.230608,0.569837,signage
0.205167,0.571936,0.229559,0.583476,signage
0.231395,0.571586,0.255001,0.583126,signage
0.231658,0.521577,0.255525,0.571236,signage
0.295917,0.529970,0.317687,0.570887,signage
0.332899,0.531019,0.352833,0.569837,signage
0.353095,0.530670,0.372766,0.570537,signage
0.372766,0.529621,0.386667,0.564941,signage
0.435714,0.507589,0.501810,0.529970,signage
0.481352,0.537664,0.502859,0.549904,signage
0.448170,0.575279,0.460203,0.589541,signage
0.433219,0.541408,0.440998,0.548053,signage
0.530752,0.504530,0.562314,0.535537,signage
0.573388,0.554240,0.583170,0.568760,signage
0.607902,0.376315,0.644816,0.489518,signage
0.730803,0.500550,0.885703,0.528235,signage
0.680461,0.551368,0.702979,0.570071,signage
0.838649,0.547390,0.854311,0.557967,signage
0.868956,0.534644,0.888890,0.547662,signage
0.000000,0.502441,0.032116,0.521637,signage
0.013844,0.447070,0.026303,0.504656,signage
0.057587,0.488783,0.086103,0.519422,signage
0.073368,0.526805,0.090533,0.588082,signage
0.091087,0.526066,0.108528,0.590666,signage
0.109359,0.528650,0.122094,0.590297,signage
0.293468,0.660064,0.308418,0.672246,branding
0.398949,0.624996,0.407809,0.635332,branding
0.445779,0.537030,0.472357,0.575513,signage
0.481286,0.567207,0.487930,0.585756,signage
