x1,y1,x2,y2,label
0.141539,0.518526,0.253294,0.561558,signage
0.396222,0.414767,0.336655,0.556129,billboard
0.813495,0.315141,0.638190,0.441542,billboard
0.617557,0.480173,0.710492,0.519375,signage
0.556944,0.596416,0.602206,0.613734,signage
0.644386,0.591692,0.656505,0.614419,signage
0.909383,0.476476,1.000000,0.524505,signage
0.868229,0.891307,0.894977,0.920551,branding
0.668748,0.596424,0.703172,0.608261,signage
0.893641,0.528111,1.000000,0.598493,signage
0.883301,0.597248,0.908282,0.650404,billboard
