x1,y1,x2,y2,label
0.405499,0.516405,0.167824,0.499450,signage
0.006523,0.558563,0.123222,0.594306,signage
0.473115,0.559846,0.506688,0.601112,signage
0.403484,0.560779,0.429907,0.594351,signage
0.406721,0.493951,0.506924,0.522820,signage
0.606515,0.514629,0.679605,0.550620,signage
0.583139,0.530968,0.600857,0.575265,signage
0.536379,0.351838,0.650812,0.452060,signage
0.381677,0.559694,0.399895,0.571299,signage
0.375438,0.577663,0.392658,0.590016,signage
0.378433,0.590765,0.393656,0.594508,signage
0.446313,0.558384,0.474014,0.576914,signage
0.825801,0.577294,0.841475,0.580668,signage
