x1,y1,x2,y2,label
0.229651,0.385382,0.571013,0.539867,billboard
0.756645,0.302326,0.947259,0.470100,billboard
0.784053,0.416611,0.921096,0.483056,signage
0.822924,0.485714,0.880731,0.643189,signage
0.972924,0.447841,1.000000,0.491030,signage
0.902159,0.606170,0.949146,0.643189,signage
0.547663,0.610847,0.599158,0.654775,signage
0.379275,0.669415,0.408991,0.727985,signage
0.324643,0.629302,0.348821,0.667200,signage
0.534203,0.810057,0.561612,0.840622,branding
0.142011,0.785473,0.163937,0.800755,branding
