x1,y1,x2,y2,label
0.681702,0.697801,0.690561,0.705110,billboard
0.494560,0.748870,0.515569,0.786269,billboard
0.465704,0.757033,0.493547,0.802596,billboard
0.723562,0.673881,0.756563,0.686007,billboard
0.818330,0.654655,0.847344,0.672263,billboard
0.882117,0.651499,0.911575,0.675253,billboard
0.250553,0.424951,0.544388,0.523511,billboard
0.587504,0.473124,0.712126,0.568805,billboard
0.698275,0.742631,0.703695,0.747009,branding
0.834418,0.734963,0.841156,0.740391,branding
0.943725,0.740578,0.949964,0.745444,branding
0.365213,0.752667,0.378123,0.761210,branding
0.970711,0.676250,0.997511,0.686549,signage
0.663591,0.716064,0.669985,0.729764,signage
0.751691,0.698466,0.766309,0.706107,signage
0.753463,0.686838,0.764094,0.696971,signage
0.777826,0.698964,0.796209,0.705442,signage
0.911353,0.685552,0.933723,0.689705,signage
0.050158,0.477775,0.497403,0.532306,signage
