x1,y1,x2,y2,label
0.051654,0.444087,0.130540,0.466707,signage
0.227451,0.442673,0.314183,0.463597,signage
0.314301,0.294673,0.358935,0.409075,signage
0.313435,0.273873,0.357635,0.305074,signage
0.524007,0.321584,0.559603,0.336139,signage
0.523532,0.337404,0.561501,0.419037,signage
0.025109,0.533061,0.032025,0.540655,branding
0.269804,0.526823,0.276923,0.537672,branding
0.519165,0.539882,0.523285,0.546970,branding
0.311003,0.187131,0.356116,0.282252,signage
0.524502,0.257772,0.558599,0.320021,signage
0.560172,0.261269,0.592171,0.295541,signage
0.663512,0.410946,0.722264,0.447316,signage
0.680298,0.341703,0.746918,0.367582,signage
0.792031,0.251478,0.857077,0.307431,signage
0.786261,0.410946,0.839767,0.440322,signage
0.785632,0.544176,0.793649,0.553998,branding
0.933658,0.520329,0.939906,0.532428,branding
0.959542,0.486809,0.963261,0.491767,branding
0.892560,0.425890,0.926336,0.453206,signage
0.034675,0.486199,0.049158,0.502188,signage
