x1,y1,x2,y2,label
0.752492,0.197674,0.958472,0.943522,signage
0.143116,0.301218,0.192137,0.357918,signage
0.112403,0.195349,0.209856,0.273754,signage
0.254314,0.353972,0.338075,0.370402,signage
0.253025,0.328602,0.315202,0.343582,signage
0.340975,0.333192,0.360948,0.347448,signage
0.335820,0.353488,0.351606,0.370885,signage
0.301823,0.381882,0.309944,0.388711,signage
0.309944,0.378560,0.320034,0.392772,signage
0.286566,0.393141,0.295179,0.400893,signage
0.284105,0.376896,0.298065,0.382735,signage
0.477522,0.350995,0.482167,0.354995,branding
0.709537,0.356226,0.722887,0.368787,signage
0.943465,0.323582,0.981760,0.334299,signage
